*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","NO2","3","3","3","3","6","4","3","3","2","3","2","3","3","3","99","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","NOX","4","4","4","4","8","6","6","4","4","4","2","3","4","5","99","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","O3","33","33","38","38","29","22","20","21","20","22","28","33","28","9","99","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","PM2.5","6","7","7","7","7","6","8","5","5","5","5","5","6","4","99","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","SO2","0.4","0.6","0.7","0.5","0.4","0.7","0.5","0.4","0.9","0.4","0.5","0.6","0.5","0.4","98","","","","","","","","","","","",""
"010801","Port Aux Choix","Port Au Choix (Town Hall)","50.7123","-57.36421","13","RB,NU,P2,F","O3","30","34","35","35","","22","16","18","19","21","27","30","26","9","82","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","CO","0.14","0.12","0.14","0.14","0.12","0.1","0.11","0.12","0.12","0.11","0.11","0.12","0.12","0.03","94","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NO","0","0","1","0","0","0","1","1","1","1","1","0","1","1","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NO2","1","1","1","1","0","0","1","0","0","1","1","1","1","1","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NOX","1","1","1","1","1","1","1","1","1","1","1","1","1","1","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","O3","35","39","42","40","34","27","25","23","23","26","33","41","32","10","97","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","PM10","10","10","11","10","6","7","8","9","9","8","11","9","9","6","99","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","PM2.5","5","5","5","5","3","3","4","4","4","4","5","4","4","3","99","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","SO2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","96","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO","1","1","1","1","1","1","1","2","1","1","2","2","1","2","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO2","4","2","3","2","2","2","2","2","2","2","3","4","3","4","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NOX","5","3","4","3","3","3","3","4","3","4","5","6","4","6","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","O3","37","39","40","40","29","25","26","23","25","28","37","39","32","10","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","PM2.5","4","2","1","1","2","1","3","2","2","3","3","4","2","3","95","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","SO2","0.8","0.5","0.2","0.5","0.6","0.4","0.2","0.2","0.3","0.3","0.8","0.4","0.4","1.4","99","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO","1","0","0","0","0","1","1","1","2","2","2","2","1","4","93","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO2","3","3","2","1","2","2","2","2","3","3","3","3","2","3","93","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NOX","4","3","2","2","2","2","2","3","4","6","5","4","3","6","93","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","O3","27","31","34","32","28","24","22","21","20","19","24","24","26","8","97","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","PM2.5","10","9","9","8","6","6","8","7","7","8","9","10","8","4","94","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","SO2","0.7","0.5","0.3","0.2","0.3","0.2","0.1","0.1","0.1","0.5","0.5","0.5","0.3","0.8","97","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","1","95","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO2","1","1","1","1","1","1","1","1","0","1","1","0","1","1","95","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NOX","1","1","1","1","1","1","1","1","1","1","1","0","1","1","95","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","O3","33","37","42","36","30","25","19","18","19","19","28","30","29","10","94","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","PM2.5","","","","","5","5","7","5","4","4","4","4","","","65","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO","0","0","0","0","0","0","0","0","","0","0","0","0","0","91","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO2","1","0","1","0","0","1","1","1","","0","0","1","0","0","91","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NOX","1","1","1","0","0","1","1","1","","1","1","1","1","1","91","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","O3","34","38","41","37","31","25","21","21","20","21","29","32","29","10","96","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","PM2.5","3","3","4","4","4","4","6","5","4","4","4","4","4","3","94","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","CO","0.16","0.15","0.14","0.13","0.12","0.11","0.12","0.12","0.11","0.09","0.1","0.11","0.12","0.04","99","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NO","2","2","2","2","2","5","4","4","4","3","2","2","3","6","98","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NO2","6","5","6","5","5","6","5","5","5","3","3","6","5","4","98","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NOX","8","7","8","7","8","11","9","9","10","6","5","8","8","9","98","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","O3","28","32","34","33","26","21","22","23","19","18","20","27","25","10","99","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","PM2.5","5","4","5","4","4","5","7","6","5","4","5","5","5","3","99","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","SO2","0.9","0.6","0.6","0.5","0.3","0.2","0.2","0.2","0.2","0.1","0.1","0.5","0.4","0.6","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO","0","0","0","0","1","1","1","1","1","","1","1","1","1","92","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO2","1","3","5","4","4","4","3","3","4","","4","4","4","3","92","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NOX","1","3","6","4","5","5","4","3","5","","5","5","4","4","92","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","O3","33","36","40","37","31","25","23","24","21","21","28","30","29","10","98","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","PM2.5","5","6","6","4","3","4","7","5","4","4","4","4","5","3","97","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","SO2","0.9","1","0.6","0.6","0.6","0","0","0","0.1","0.2","0.5","0.6","0.4","0.8","98","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NO","3","1","2","1","1","1","1","1","1","1","3","3","2","4","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NO2","4","3","5","2","2","1","1","2","2","2","4","4","3","4","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NOX","7","4","7","3","3","2","2","3","2","3","7","8","4","8","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","O3","33","37","38","37","30","26","22","23","23","25","30","34","30","9","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","PM2.5","7","6","7","5","4","4","7","5","4","4","5","5","5","3","100","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","SO2","1.2","0.6","0.9","0.4","0.3","0.2","0.6","0.7","0.5","0.2","0.7","0.4","0.6","1.8","99","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","CO","0.19","0.17","0.16","0.14","0.12","0.13","0.13","0.14","0.13","0.11","0.12","0.13","0.14","0.06","94","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NO","3","1","2","1","1","1","1","1","1","2","2","1","1","3","96","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NO2","4","3","5","2","2","2","2","2","2","3","3","3","3","4","96","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NOX","7","4","6","2","3","3","2","3","4","5","5","4","4","6","96","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","O3","32","37","38","37","32","25","22","23","21","24","31","33","30","10","97","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","PM2.5","6","5","6","4","4","4","6","5","5","4","5","5","5","3","97","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","SO2","0.3","0.3","0.5","0.3","0.3","0.6","0.7","0.4","0.3","0.5","0.3","0.2","0.4","1.5","97","","","","","","","","","","","",""
"030502","Kejimkujik","National Park","44.43244","-65.20264","124","RB,NU,P1,F","O3","33","36","41","36","30","25","23","25","21","20","27","30","29","10","94","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","O3","36","40","46","40","35","29","28","27","24","24","31","34","33","9","98","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","PM2.5","","7","7","5","2","","7","5","4","3","3","3","5","3","80","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NO","0","0","0","0","0","1","1","1","1","1","0","0","0","1","98","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NO2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","98","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NOX","2","2","2","1","1","2","2","1","2","2","2","2","2","2","98","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","O3","28","32","34","34","30","25","22","22","21","23","29","34","28","8","99","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","PM2.5","6","5","6","4","3","4","7","6","5","4","5","5","5","3","97","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","SO2","0.9","0.7","0.7","0.7","0.7","0.4","0","0","0.2","0.2","0.3","0.2","0.4","1.4","96","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NO","0","0","0","0","0","0","0","0","0","1","1","0","0","1","99","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NO2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","99","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NOX","2","1","1","1","1","1","1","1","1","1","2","2","1","1","99","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","O3","35","39","43","38","32","26","23","24","22","22","29","32","30","10","100","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","PM2.5","6","5","6","","4","6","9","6","5","4","4","5","5","3","91","","","","","","","","","","","",""
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","NO","1","1","0","0","0","0","1","0","1","1","1","1","1","2","99","","","","","","","","","","","",""
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","NO2","4","4","4","2","1","1","1","1","2","3","4","3","3","3","99","","","","","","","","","","","",""
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","NOX","5","5","4","2","1","1","2","2","3","4","5","4","3","5","99","","","","","","","","","","","",""
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","O3","27","32","37","34","29","24","18","19","22","21","28","30","27","10","99","","","","","","","","","","","",""
"040104","Fredericton","486 Needham Street","45.957289","-66.645236","10","PE,MU,P3,R","PM2.5","7","5","4","2","2","2","8","6","5","5","5","6","5","4","99","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NO","0","0","1","0","1","1","1","1","1","1","0","0","1","2","100","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NO2","3","2","3","2","2","3","6","4","3","2","2","3","3","3","100","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NOX","3","3","4","3","3","3","7","4","3","3","2","3","3","5","100","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","O3","30","34","38","35","33","28","24","23","22","24","30","32","30","9","100","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","PM2.5","5","5","5","4","4","5","8","6","6","5","5","6","5","4","100","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","SO2","0.6","0.4","1","0.9","1.6","2.9","5.1","3.1","4","1.1","0.5","0.4","1.8","4.6","100","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NO","3","2","1","1","2","1","1","1","1","2","1","2","1","3","96","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NO2","5","5","4","3","5","3","3","3","3","3","3","4","4","4","96","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NOX","7","7","4","4","6","4","4","4","4","5","5","6","5","7","96","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","O3","32","31","45","41","35","31","28","27","22","19","27","32","31","10","97","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","PM2.5","7","7","6","4","4","5","7","6","5","5","4","5","5","3","100","","","","","","","","","","","",""
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","SO2","3.3","1.6","0.7","0.9","1","0.6","0.5","0.9","0.5","2.7","2","1.6","1.4","4.8","100","","","","","","","","","","","",""
"040208","Saint John","111 Champlain Drive","45.291218","-66.00305","47","PS,MU,P3,R","PM2.5","5","5","5","3","3","5","7","6","5","4","4","5","5","3","100","","","","","","","","","","","",""
"040208","Saint John","111 Champlain Drive","45.291218","-66.00305","47","PS,MU,P3,R","SO2","0.9","0.7","1.6","1.4","0.3","0.8","0.7","0.9","0.6","1.7","1.7","0.9","1","4.1","99","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","CO","0.17","0.17","0.18","0.16","0.15","0.14","0.15","0.16","0.15","0.14","0.14","0.16","0.16","0.04","95","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NO","2","1","2","2","2","1","1","1","2","2","1","1","2","4","99","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NO2","4","4","5","4","4","4","5","4","4","3","3","3","4","4","99","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NOX","7","5","6","5","6","5","6","5","6","5","5","5","5","8","99","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","O3","35","39","43","40","28","25","22","22","19","20","27","31","29","11","100","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","PM2.5","","","","","","5","8","7","6","4","4","5","","","57","","","","","","","","","","","",""
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","SO2","0.7","0.6","0.6","0.4","0.5","0.3","0.2","0.1","0.1","0.4","0.3","0.1","0.4","1.3","99","","","","","","","","","","","",""
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","CO","0.21","0.19","0.2","0.2","0.16","0.17","0.22","0.16","0.18","0.18","0.18","0.19","0.19","0.1","97","","","","","","","","","","","",""
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","NO","4","1","1","","1","1","1","1","2","3","2","1","2","4","88","","","","","","","","","","","",""
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","NO2","7","4","5","","3","2","2","3","3","3","4","4","4","5","88","","","","","","","","","","","",""
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","NOX","10","5","6","","4","3","3","4","4","6","6","5","5","8","88","","","","","","","","","","","",""
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","O3","28","35","37","35","29","25","21","21","20","20","27","25","27","11","100","","","","","","","","","","","",""
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","PM2.5","4","3","3","2","2","4","8","6","5","5","5","6","4","3","99","","","","","","","","","","","",""
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","NO","","","","","","","","","","0","0","0","","","27","","","","","","","","","","","",""
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","NO2","","","","","","","","","","1","1","1","","","27","","","","","","","","","","","",""
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","NOX","","","","","","","","","","1","1","1","","","27","","","","","","","","","","","",""
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","O3","35","39","44","38","32","28","22","21","20","22","30","35","31","11","97","","","","","","","","","","","",""
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","PM2.5","5","5","5","4","4","4","6","5","4","4","3","4","4","2","97","","","","","","","","","","","",""
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","NO","1","1","0","0","0","0","0","0","0","0","0","0","0","1","100","","","","","","","","","","","",""
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","NO2","3","2","1","1","0","0","1","1","1","1","1","2","1","2","100","","","","","","","","","","","",""
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","NOX","3","2","1","1","1","0","1","1","1","2","2","2","2","3","100","","","","","","","","","","","",""
